18 Palms,Bonaire,[Any State],Bonaire
3 Achors,Maui,Hawaii,USA
5 Caves,Maui,Hawaii,USA
Aitutake,Aitutake,[Any State],Cook Islands
Alki (snorkel),Puget Sound,Washington,USA
Andy's Wall,Grand Cayman,[Any State],Cayman Islands
Angel City,Bonaire,[Any State],Bonaire
Annie's Place,Lighthouse Reef,[Any State],Belize
Aquarium,Grand Cayman,[Any State],Cayman Islands
White River,Rarotonga,[Any State],Cook Islands
Barcadera,Bonaire,[Any State],Bonaire
Bari Reef,Bonaire,[Any State],Bonaire
Barnum Wall,[Any Area],[Any State],Palau
Big Drop-off,[Any Area],[Any State],Palau
Black Forest,Grand Cayman,[Any State],Cayman Islands
Blue Corner,[Any Area],[Any State],Palau
Blue Holes,[Any Area],[Any State],Palau
Blue Holes - Blue Corner,[Any Area],[Any State],Palau
Carib. Sand Chute,Grand Cayman,[Any State],Cayman Islands
Cathedrals,Lanai,Hawaii,USA
Certification Dive 1,Hoodsport,Washington,USA
Certification Dive 2,Hoodsport,Washington,USA
Certification Dive 3,Hoodsport,Washington,USA
Certification Dive 4,Hoodsport,Washington,USA
Chandelier Cave,[Any Area],[Any State],Palau
Cheeseburger Alley,Grand Cayman,[Any State],Cayman Islands
Chimney,Lighthouse Reef,[Any State],Belize
Christmas Tree Corals,Kona,Hawaii,USA
Cliff,Bonaire,[Any State],Bonaire
Deer Valley,Maui,Hawaii,USA
Bari Reef,Bonaire,[Any State],Bonaire
Bari Reef,Bonaire,[Any State],Bonaire
Dos Cocos,Lighthouse Reef,[Any State],Belize
Bari Reef,Bonaire,[Any State],Bonaire
Driftwood,Kona,Hawaii,USA
Eagle Ray Pass,Grand Cayman,[Any State],Cayman Islands
Fantasy Reef,Kona,Hawaii,USA
First Choice,Lighthouse Reef,[Any State],Belize
German Channel,[Any Area],[Any State],Palau
Golden Arches,Kona,Hawaii,USA
Halfmoon Caye,Lighthouse Reef,[Any State],Belize
Honoa,Maui,Hawaii,USA
Iro Maru Wreck,[Any Area],[Any State],Palau
Jellyfish Lake,[Any Area],[Any State],Palau
Johnson's Wall,Lighthouse Reef,[Any State],Belize
Molokini's Mid Reef,Maui,Hawaii,USA
5 Caves,Maui,Hawaii,USA
K. Critters,Kona,Hawaii,USA
Large Arch (North of pier),Kona,Hawaii,USA
Molokini's Back Wall,Maui,Hawaii,USA
Lava Dome (Red Hill area),Kona,Hawaii,USA
Lighthouse Reef,Lighthouse Reef,[Any State],Belize
Long Lava Tube (Red Hill area),Kona,Hawaii,USA
Makaha Caverns,Oahu,Hawaii,USA
Marty's Reef,Maui,Hawaii,USA
MI Dushi,Klein Bonaire,[Any State],Bonaire
Mile 4 Alii Rd,Kona,Hawaii,USA
Molokini's Back Wall,Maui,Hawaii,USA
Molokini's East End,Maui,Hawaii,USA
Molokini's Left Wall,Maui,Hawaii,USA
Molokini's Mid Reef,Maui,Hawaii,USA
Molokini's Outer Reef,Maui,Hawaii,USA
Molokini's Reef End,Maui,Hawaii,USA
Toilet Bowl (by airport),Kona,Hawaii,USA
Molokini's West End,Maui,Hawaii,USA
Turtle Heaven (in front of S. Harbor),Kona,Hawaii,USA
Golden Arches,Kona,Hawaii,USA
Molokini's Reef End,Maui,Hawaii,USA
Monolith,Lanai,Hawaii,USA
New Drop Off,[Any Area],[Any State],Palau
Ngemelis Wall,[Any Area],[Any State],Palau
North Nahuna,Maui,Hawaii,USA
North of 5 Graves,Maui,Hawaii,USA
Blue Corner,[Any Area],[Any State],Palau
OroVerde Reef,Grand Cayman,[Any State],Cayman Islands
Outer Ulong Channel,[Any Area],[Any State],Palau
PPR Reef,[Any Area],[Any State],Palau
German Channel,[Any Area],[Any State],Palau
Puako Beach,Kona,Hawaii,USA
Pu'u Alai,Maui,Hawaii,USA
Siae's Tunnel,[Any Area],[Any State],Palau
Rappel,Bonaire,[Any State],Bonaire
Royal Palms Ledges,Grand Cayman,[Any State],Cayman Islands
Blue Corner,[Any Area],[Any State],Palau
Blue Holes - Blue Corner,[Any Area],[Any State],Palau
Sampler,Klein Bonaire,[Any State],Bonaire
Sandollar Pier,Bonaire,[Any State],Bonaire
New Drop Off,[Any Area],[Any State],Palau
Shark Rock,Kona,Hawaii,USA
Siae's Cornor,[Any Area],[Any State],Palau
Big Drop-off,[Any Area],[Any State],Palau
Siae's Tunnel,[Any Area],[Any State],Palau
New Drop Off,[Any Area],[Any State],Palau
German Channel,[Any Area],[Any State],Palau
Silver Caves,Lighthouse Reef,[Any State],Belize
Blue Corner,[Any Area],[Any State],Palau
Small Wall,Bonaire,[Any State],Bonaire
Ngemelis Wall,[Any Area],[Any State],Palau
Blue Holes,[Any Area],[Any State],Palau
Ulong Channel,[Any Area],[Any State],Palau
Siae's Tunnel,[Any Area],[Any State],Palau
South of Kona by airport,Kona,Hawaii,USA
Spiral Lava Tubes (south of Kona),Kona,Hawaii,USA
St. Anthony,Maui,Hawaii,USA
Stingray City II,Grand Cayman,[Any State],Cayman Islands
The Mahi Boat,Oahu,Hawaii,USA
Toilet Bowl (by airport),Kona,Hawaii,USA
Trinity Caves & Round Rock Cavern,Grand Cayman,[Any State],Cayman Islands
Turtle Cove,[Any Area],[Any State],Palau
Molokini's Back Wall,Maui,Hawaii,USA
St. Anthony,Maui,Hawaii,USA
Turtle Heaven (in front of S. Harbor),Kona,Hawaii,USA
Turtle Pinnacles,Kona,Hawaii,USA
Turtle Towers,Kona,Hawaii,USA
Ulong Channel,[Any Area],[Any State],Palau
Molokini's Back Wall,Maui,Hawaii,USA
Marty's Reef,Maui,Hawaii,USA
Molokini's West End,Maui,Hawaii,USA
Ulong Wall,[Any Area],[Any State],Palau
Molokini's Mid Reef,Maui,Hawaii,USA
St. Anthony,Maui,Hawaii,USA
White River,Rarotonga,[Any State],Cook Islands
North Nahuna,Maui,Hawaii,USA
Molokini's East End,Maui,Hawaii,USA
North Nahuna,Maui,Hawaii,USA
Molokini's Mid Reef,Maui,Hawaii,USA
Yellow Man,Carl's Hill Annex,[Any State],Bonaire
Molokini's Outer Reef,Maui,Hawaii,USA
St. Anthony,Maui,Hawaii,USA
